title,kind,release_date,source,source_url,summary,poster_url,updated_at
Zombie House Flipping: Family Business,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/92371/zombie-house-flipping-family-business,"In Columbus, Ohio, power flipper Tommy Harr and his family have built a business on seeing opportunity where others see disaster. Their edge comes from within the family — two generations of elite home inspectors, a fearless construction crew led by his middle brother, and a mom who doubles as both designer and real estate agent. Together, they take on the city's worst ""zombie"" houses, transforming rundown properties into stunning dream homes.",https://static.tvmaze.com/uploads/images/medium_portrait/629/1572852.jpg,2026-06-20T06:44:26+00:00
Saturday Agenda,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/76915/saturday-agenda,Rob Astorino reveals Washington's inner workings and the fight for core values.,,2026-06-20T06:44:26+00:00
Alex Witt Reports,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/9956/alex-witt-reports,"The latest breaking news, reporting and live coverage of the day's important stories; hosted by trusted NBC News journalists, these dynamic hours offer discussions with newsmakers, journalists and politicians.",https://static.tvmaze.com/uploads/images/medium_portrait/613/1532634.jpg,2026-06-20T06:44:26+00:00
PoliticsNation,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/10815/politicsnation,Rev. Al Sharpton highlights important political stories and issues that require a national platform.,https://static.tvmaze.com/uploads/images/medium_portrait/619/1549262.jpg,2026-06-20T06:44:26+00:00
The Count,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/77701/the-count,"Newsmax counts up the top stories of the week, while offering analysis by lawmakers, newsmakers, and policy experts.",,2026-06-20T06:44:26+00:00
The Weekend Primetime,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/83807/the-weekend-primetime,"A diverse panel of journalists navigates the week's biggest stories and sets the agenda for the week ahead, offering context, analysis, and civil debate in a three-hour Saturday and Sunday evening format.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536184.jpg,2026-06-20T06:44:26+00:00
SEC Now,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/8661/sec-now,"The flagship news and information program of the SEC Network -- ESPN's 24/7 multiplatform sports network devoted to the Southeastern Conference -- is SEC Now , broadcast weekdays from the network's studios in Charlotte, N.C. Hosted by Dari Nowkhah, the show includes a mix of sports coverage, in-depth features, insider access, and exclusive interviews with the movers and shakers of the conference's 14 teams.",https://static.tvmaze.com/uploads/images/medium_portrait/30/77094.jpg,2026-06-20T06:44:26+00:00
AEW: Collision,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/68778/aew-collision,"This live, two-hour, in-ring show will air every Saturday night from 8-10 p.m. ET and feature more wrestlers, more stories and more action to super-serve fans. AEW: Collision will feature headliners including Miro, Samoa Joe, Thunder Rosa, Powerhouse Hobbs, and Andrade El Idolo.",https://static.tvmaze.com/uploads/images/medium_portrait/572/1432197.jpg,2026-06-20T06:44:26+00:00
Svengoolie,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/22734/svengoolie,"MeTV is opening up the dungeon door and unleashing... Svengoolie ! Svengoolie has been the premiere horror show icon of Chicago, since multiple Emmy award winner Rich Koz became the hand-picked successor to the original Svengoolie back in the late 70s. Since then, generations of viewers have become fans of the monstrous mirth and movies that this video vampire dispenses every week over the airwaves!",https://static.tvmaze.com/uploads/images/medium_portrait/84/210496.jpg,2026-06-20T06:44:26+00:00
On Patrol: First Shift,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/63525/on-patrol-first-shift,"On Patrol: Live's Dan Abrams, Sean ""Sticks"" Larkin, and Curtis Wilson provide a sneak peek at tonight's On Patrol: Live and share favorite moments from previous programs.",https://static.tvmaze.com/uploads/images/medium_portrait/418/1046660.jpg,2026-06-20T06:44:26+00:00
Storage Wars: Back to the Locker,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/85784/storage-wars-back-to-the-locker,"Storage Wars: Back to the Locker refers to a series of episodes within the larger ""Storage Wars"" series, where the focus is on the competitive bidding and treasure hunting within abandoned storage units. These episodes continue the main show's premise of professional buyers vying to acquire the contents of storage lockers, often with the hope of finding valuable items among the discarded belongings. The ""Back to the Locker"" part emphasizes the return to the core concept of exploring what lies behind the doors of these storage units.",,2026-06-20T06:44:26+00:00
Heart & Hustle: Houston,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/84731/heart-hustle-houston,"Heart & Hustle: Houston (wt), produced by Jesse Collins Entertainment in their first-ever foray into the unscripted ensemble arena, follows a dynamic sisterhood of successful Black women in the vibrant heart of Houston. These women are redefining what it means to be a boss, a wife and a mother, while navigating a labyrinth of unique daily challenges. Despite appearing to ‘have it all,' they face insecurities and pressures to maintain a perfect image. Their unbreakable bond of friendship and support helps them rise above the chaos, reminding them it's okay to be ‘perfectly imperfect.'",https://static.tvmaze.com/uploads/images/medium_portrait/624/1561505.jpg,2026-06-20T06:44:26+00:00
My View with Lara Trump,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/83839/my-view-with-lara-trump,"My View with Lara Trump features big picture analysis and interviews with thought leaders, shedding light on the headlines driving the national conversation and affecting families around the country.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536219.jpg,2026-06-20T06:44:26+00:00
Storage Wars,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/860/storage-wars,"Storage Wars follows professional buyers and their teams as they scour repossessed storage units in search of hidden treasure. Part gamblers, part detectives, these auction pros have found everything from coffins to the world's most valuable comic book collection, paying as little as ten dollars for items valued in the millions. Each episode of Storage Wars follows a group of bidders as they get a quick peek inside the units, aided only by the beam of a flashlight. They then must assess on the spot if the unit is worth a bid and how high they will actually go to grasp the gold. The high-stakes fun begins as we see if the resulting buy is full of mostly trash... or true treasure.",https://static.tvmaze.com/uploads/images/medium_portrait/583/1457809.jpg,2026-06-20T06:44:26+00:00
On Patrol: Live,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/62603/on-patrol-live,"Hosting and executive producing On Patrol: Live is Dan Abrams, CEO and Founder of Abrams Media, host of Dan Abrams Live on NewsNation, Chief Legal Analyst for ABC News, and former host of Live PD . Joining Abrams is Sgt. Sean ""Sticks"" Larkin, retired Tulsa Police Department lieutenant with nearly 25 years of service, and Deputy Sheriff Curtis Wilson , Division Commander with the Richland County Sheriff's Department in Columbia, SC.",https://static.tvmaze.com/uploads/images/medium_portrait/615/1539722.jpg,2026-06-20T06:44:26+00:00
Love Island,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/42289/love-island,"U.S. version of the British show Love Island where a group of singles come to stay in a villa for a few weeks and have to couple up with one another – those who fail to find a partner to couple up with risk being dumped from the island. Islanders are on the lookout for romance, but the road to love doesn't always run smoothly. Challenges abound with new Islander arrivals and dramatic twists as friendships and relationships form. In addition to choosing their partners wisely, Islanders must also win the hearts of viewers who have the opportunity to shape events on screen and ultimately crown one lucky couple the winner, who will then have the chance to walk away with both love and the cash prize.",https://static.tvmaze.com/uploads/images/medium_portrait/627/1568693.jpg,2026-06-20T06:44:26+00:00
My Adventures with Superman,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/55414/my-adventures-with-superman,"My Adventures with Superman catches up with twenty-somethings Clark Kent, the bright and driven Lois Lane, and their best friend Jimmy Olsen as they begin to discover who they are and everything they can accomplish together as an investigative reporting team at the Daily Planet.",https://static.tvmaze.com/uploads/images/medium_portrait/528/1320722.jpg,2026-06-20T06:44:26+00:00
Way Too Early,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/15308/way-too-early,The fast-paced program brings viewers everything they need to know to start their days--from news and politics to sports and pop culture.,https://static.tvmaze.com/uploads/images/medium_portrait/619/1549472.jpg,2026-06-20T06:44:25+00:00
FOX Weather First,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/86122/fox-weather-first,Waking up at 5 am to the first live national forecast of the day; all the latest weather news and everything one needs to prepare for the day ahead.,,2026-06-20T06:44:25+00:00
FOX & Friends First,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/9966/fox-friends-first,"Kicking off the day, FOX & Friends First delivers all the headlines viewers may have missed overnight, along with a preview of upcoming news events. Presented two hours before FOX & Friends, the first hour of the program is hosted by Todd Piro and Carley Shimkus",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536193.jpg,2026-06-20T06:44:25+00:00
